branch,AA,AC,AD,AE,AF,AG,AH,AI,AK,AL,AM,AN,AP,AQ,AR,AS,AT,AV,AW,AY,CA,CC,CD,CE,CF,CG,CH,CI,CK,CL,CM,CN,CP,CQ,CR,CS,CT,CV,CW,CY,DA,DC,DD,DE,DF,DG,DH,DI,DK,DL,DM,DN,DP,DQ,DR,DS,DT,DV,DW,DY,EA,EC,ED,EE,EF,EG,EH,EI,EK,EL,EM,EN,EP,EQ,ER,ES,ET,EV,EW,EY,FA,FC,FD,FE,FF,FG,FH,FI,FK,FL,FM,FN,FP,FQ,FR,FS,FT,FV,FW,FY,GA,GC,GD,GE,GF,GG,GH,GI,GK,GL,GM,GN,GP,GQ,GR,GS,GT,GV,GW,GY,HA,HC,HD,HE,HF,HG,HH,HI,HK,HL,HM,HN,HP,HQ,HR,HS,HT,HV,HW,HY,IA,IC,ID,IE,IF,IG,IH,II,IK,IL,IM,IN,IP,IQ,IR,IS,IT,IV,IW,IY,KA,KC,KD,KE,KF,KG,KH,KI,KK,KL,KM,KN,KP,KQ,KR,KS,KT,KV,KW,KY,LA,LC,LD,LE,LF,LG,LH,LI,LK,LL,LM,LN,LP,LQ,LR,LS,LT,LV,LW,LY,MA,MC,MD,ME,MF,MG,MH,MI,MK,ML,MM,MN,MP,MQ,MR,MS,MT,MV,MW,MY,NA,NC,ND,NE,NF,NG,NH,NI,NK,NL,NM,NN,NP,NQ,NR,NS,NT,NV,NW,NY,PA,PC,PD,PE,PF,PG,PH,PI,PK,PL,PM,PN,PP,PQ,PR,PS,PT,PV,PW,PY,QA,QC,QD,QE,QF,QG,QH,QI,QK,QL,QM,QN,QP,QQ,QR,QS,QT,QV,QW,QY,RA,RC,RD,RE,RF,RG,RH,RI,RK,RL,RM,RN,RP,RQ,RR,RS,RT,RV,RW,RY,SA,SC,SD,SE,SF,SG,SH,SI,SK,SL,SM,SN,SP,SQ,SR,SS,ST,SV,SW,SY,TA,TC,TD,TE,TF,TG,TH,TI,TK,TL,TM,TN,TP,TQ,TR,TS,TT,TV,TW,TY,VA,VC,VD,VE,VF,VG,VH,VI,VK,VL,VM,VN,VP,VQ,VR,VS,VT,VV,VW,VY,WA,WC,WD,WE,WF,WG,WH,WI,WK,WL,WM,WN,WP,WQ,WR,WS,WT,WV,WW,WY,YA,YC,YD,YE,YF,YG,YH,YI,YK,YL,YM,YN,YP,YQ,YR,YS,YT,YV,YW,YY
Lamprophol#N77,91661,2,25,46,2,63,0,9,3,2,3,11,37,6,3,285,380,248,0,0,1,17282,0,0,13,14,0,0,0,4,1,1,0,0,10,67,0,3,1,28,10,1,62496,285,1,35,15,2,5,1,0,117,2,2,1,7,3,8,1,4,33,0,364,96939,0,45,0,1,87,5,4,7,1,65,1,5,4,17,0,0,1,10,1,0,40264,1,0,20,1,105,0,1,0,0,0,10,2,17,1,74,82,15,74,49,0,56373,2,2,3,1,0,6,1,5,40,117,6,27,4,1,0,5,9,2,2,0,31418,1,1,30,1,36,9,92,73,3,2,0,0,40,7,2,0,1,27,0,2,74863,2,128,107,10,0,0,1,10,75,429,0,2,5,1,5,65,1,5,3,6,89337,4,21,84,2,81,210,4,45,6,0,3,2,2,1,3,117,2,24,130,0,119222,141,2,35,40,21,27,8,150,5,2,2,0,1,1,3,1,0,84,13,106,31477,1,1,0,6,1,51,70,1,0,1,0,74,0,1,2,57,11,79,0,2,53509,2,5,7,179,53,1,0,10,53,1,0,3,3,1,26,0,1,44,0,0,56415,29,6,187,39,2,0,1,2,0,4,82,1,1,130,1,78,74,4,6,50,62712,85,2,2,0,0,0,1,22,0,4,2,31,74,1,195,21,4,5,4,86,62570,35,8,2,5,0,118,54,2,7,30,85,6,14,8,42,1,225,71,1,30,112001,253,7,1,6,256,2,3,1,1,2,4,79,21,2,57,45,23,1,13,280,73481,17,0,0,159,1,13,22,20,21,0,482,3,145,85,1,4,2,1,4,17,91582,0,3,0,5,1,0,1,4,0,1,1,4,0,0,1,3,4,1,0,0,6033,1,0,15,4,1,99,0,54,1,0,2,2,14,0,0,0,9,0,3,0,33401
Latimeria#N9,85012,22,35,66,11,283,2,52,10,44,36,23,143,18,7,760,724,653,1,10,13,15548,1,0,34,33,14,8,1,11,2,4,2,6,15,227,11,9,8,88,53,2,61745,1738,1,120,33,4,22,3,0,444,5,15,5,65,13,21,1,15,115,3,1773,99835,5,95,15,10,234,18,11,60,11,324,32,25,23,62,1,7,11,31,0,2,37941,3,15,68,2,503,13,2,3,4,1,39,7,53,6,448,325,31,141,173,3,54272,8,7,46,10,3,95,7,22,140,406,48,63,6,7,8,7,23,6,14,6,27129,4,12,50,0,138,31,273,120,29,6,4,0,278,24,5,3,2,67,2,1,71494,5,696,200,10,3,1,2,27,106,2016,0,4,24,3,11,126,2,28,27,27,93041,17,41,215,9,264,1603,59,123,20,4,5,43,21,2,18,583,3,29,699,19,113091,535,8,62,109,43,59,37,752,9,21,23,1,0,5,11,1,0,255,21,589,29001,6,1,6,10,13,86,205,1,0,38,5,231,22,6,37,115,30,157,5,6,51085,6,22,29,791,162,11,0,29,271,9,7,14,9,13,42,11,17,228,6,15,55357,110,32,567,128,40,1,5,17,6,17,317,6,16,395,7,276,169,19,25,179,61851,255,42,31,15,7,20,4,53,2,11,9,51,205,9,1307,38,22,28,13,329,57845,72,32,9,21,6,690,170,43,23,70,281,24,31,31,125,13,578,255,22,71,106952,844,39,7,30,602,7,6,7,9,19,5,222,64,49,136,129,71,15,42,870,69732,149,2,3,414,5,7,27,42,33,2,2114,10,500,219,6,11,9,6,32,125,88670,1,6,0,15,0,0,17,5,3,1,1,33,2,0,0,8,22,15,0,3,5604,10,7,77,9,4,642,3,190,4,2,14,2,27,0,6,8,39,0,10,2,33765
Lepidosire#N19,84157,1,21,36,3,62,1,14,2,6,10,7,38,1,0,240,298,218,0,1,1,16974,0,1,15,8,3,0,0,1,0,1,0,0,16,45,1,1,3,34,18,0,62926,324,2,32,9,2,3,2,0,131,0,5,0,12,3,9,0,9,43,0,386,96521,0,37,3,0,87,6,1,8,1,72,4,3,5,18,0,1,0,13,0,0,39725,0,2,21,0,133,0,1,0,0,2,16,1,24,0,74,58,12,40,59,0,51622,1,2,5,1,0,13,0,4,19,133,6,24,2,1,1,6,5,1,5,1,29819,2,1,19,0,46,13,78,63,3,1,1,0,77,8,0,1,1,26,1,0,75997,4,184,73,4,0,0,1,10,69,640,0,0,3,0,0,47,0,2,3,8,92517,1,13,89,3,64,363,11,39,1,0,0,6,5,1,2,136,1,10,149,1,112242,133,3,13,19,9,27,4,195,3,1,2,0,0,2,0,1,0,106,4,149,30372,2,1,1,8,1,32,97,0,0,2,4,64,5,0,10,40,14,54,1,0,53096,1,2,3,332,60,1,1,8,58,0,0,1,2,1,14,2,1,57,2,3,51836,29,9,163,61,5,0,2,2,2,2,76,0,1,182,2,71,42,3,3,42,60374,79,3,2,6,1,9,1,22,0,2,0,17,84,3,276,10,5,13,4,115,57276,21,13,3,7,3,140,52,6,3,21,78,4,19,5,51,1,218,77,2,28,110153,191,6,0,15,270,1,1,0,4,2,1,104,14,9,61,41,18,1,9,245,73123,27,0,0,154,0,6,13,22,14,0,580,1,135,84,1,2,1,1,7,26,91264,0,0,0,4,0,0,2,1,0,1,0,9,0,0,0,1,5,2,0,0,5619,2,0,41,9,1,84,1,48,1,0,0,0,7,0,0,0,15,0,2,1,34150
Lepisost00#N7,91884,0,3,0,0,2,0,0,0,1,0,0,4,0,1,6,21,8,0,0,0,16468,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,61862,7,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,9,96511,0,2,0,0,4,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,37837,0,0,0,0,2,0,0,0,0,0,1,0,1,0,4,3,1,3,2,0,56275,0,0,1,0,0,1,2,1,1,2,1,0,0,0,0,0,1,0,0,0,29043,0,0,0,0,2,0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,66205,0,4,1,0,0,0,0,0,3,8,0,0,1,0,0,3,0,0,0,0,83345,0,0,2,0,3,3,1,0,0,0,0,1,0,0,0,1,1,0,4,0,114715,2,1,1,1,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,5,30515,0,0,0,0,0,4,3,0,1,0,0,1,0,0,1,2,0,1,0,0,47011,0,0,0,6,1,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,54743,1,2,2,2,2,0,0,0,0,1,1,0,0,4,0,0,2,0,0,1,61658,5,2,0,0,0,0,1,4,0,0,0,1,3,0,11,1,0,1,0,11,66911,1,1,0,1,0,4,1,1,0,2,9,0,1,1,5,0,4,1,1,7,111145,2,0,0,1,8,0,0,0,0,0,0,1,0,1,3,2,0,0,0,13,70392,1,0,0,3,2,0,0,1,0,0,11,1,2,4,0,0,0,0,1,2,93685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5601,0,0,0,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,31719
Lepisosteu#N7,91884,2,3,3,1,13,0,1,2,3,2,0,7,3,2,17,23,16,1,0,1,16468,0,0,2,0,0,0,0,3,0,0,1,0,1,5,1,2,0,3,2,0,61862,13,0,6,2,1,1,0,0,5,0,2,0,1,0,0,0,2,3,0,13,96511,1,1,0,0,7,3,0,2,1,4,1,4,1,2,0,0,1,2,1,0,37837,0,0,4,0,8,0,0,1,1,0,2,0,3,0,5,4,1,3,4,0,56275,2,2,0,2,0,1,2,0,5,18,1,3,0,1,0,2,4,0,0,1,29043,0,1,3,0,2,1,7,4,3,1,1,0,3,1,1,0,0,2,0,0,66205,0,14,1,0,1,0,1,0,4,27,0,0,0,1,1,5,1,0,0,2,83345,0,3,8,1,7,17,6,4,1,0,0,1,2,0,0,13,0,1,5,0,114715,9,1,1,4,1,5,2,15,0,2,0,1,0,0,2,1,1,13,2,14,30515,0,1,3,1,0,4,6,0,0,2,2,8,0,0,0,0,2,8,0,0,47011,0,3,1,8,3,1,1,0,9,0,0,2,1,0,3,1,1,8,2,0,54743,2,2,10,6,1,0,0,1,0,3,8,1,1,10,1,6,3,1,1,4,61658,18,1,3,0,0,0,1,4,0,2,1,8,13,1,9,2,5,1,3,12,66911,5,2,3,3,0,11,3,2,2,2,10,1,0,3,5,1,9,6,3,4,111145,13,1,0,0,24,1,2,1,3,0,0,7,5,1,12,5,0,0,3,12,70392,1,0,1,11,0,2,1,3,2,0,21,2,11,7,0,0,0,1,3,1,93685,1,0,0,2,0,0,3,0,0,0,1,5,0,0,0,0,1,0,1,1,5601,0,1,2,0,0,6,0,5,0,0,1,0,3,0,0,0,0,0,1,0,31719
Leucoraja#N16,84635,0,5,15,0,26,0,4,0,3,1,1,13,0,0,78,87,80,0,0,0,16577,0,0,6,5,0,0,0,1,0,2,0,0,3,27,0,0,4,9,10,0,62026,98,0,15,5,0,0,1,0,35,0,0,0,0,1,6,0,4,28,0,144,92478,0,20,1,2,25,1,0,1,0,31,0,2,0,13,0,0,0,5,0,0,38025,0,1,7,0,38,1,2,0,0,1,10,0,10,0,23,27,8,11,12,1,51802,0,0,0,0,0,1,0,0,11,30,0,7,2,0,1,0,4,0,1,0,29581,0,0,5,0,20,6,36,18,1,0,0,0,13,0,0,0,0,11,1,1,74853,0,39,39,6,1,0,0,3,30,138,0,0,1,0,0,19,0,0,1,8,86503,1,5,48,0,29,91,3,36,1,0,0,0,0,0,1,46,0,11,48,0,112582,62,0,6,11,12,10,0,53,2,0,1,0,0,0,0,0,0,31,8,50,30567,1,0,0,1,0,20,26,0,0,1,0,41,1,0,2,14,12,30,0,0,53377,0,0,2,70,26,1,0,8,26,1,0,0,0,1,6,0,3,30,0,0,49653,12,6,37,11,1,0,0,0,0,2,30,0,2,53,0,29,33,3,4,20,60550,36,1,1,3,0,0,0,14,1,1,0,14,24,2,65,7,1,1,0,26,60419,15,6,0,5,0,56,32,1,1,8,35,2,3,1,12,1,79,32,1,17,105666,78,1,0,2,67,1,0,0,2,1,0,43,9,1,21,26,16,0,2,108,70363,2,0,0,46,0,2,5,2,10,0,139,0,35,20,1,0,0,0,0,2,88936,1,0,0,2,0,0,0,1,0,0,0,5,0,0,0,0,3,0,0,0,5761,0,1,6,4,0,38,0,13,0,0,2,0,2,0,0,2,3,2,0,0,32685
Loxodonta#N47,96093,6,25,50,1,136,1,32,7,10,20,6,116,5,7,373,748,489,1,5,4,16680,1,0,24,19,11,2,0,9,0,3,1,3,37,95,4,2,13,55,44,0,61723,616,1,104,32,3,9,1,1,311,3,9,5,25,6,9,0,14,111,0,729,97236,2,137,6,4,191,7,8,19,8,228,21,10,16,35,0,1,3,34,0,0,40036,0,8,38,0,293,0,3,6,0,0,50,3,44,1,140,207,19,102,104,1,58258,2,2,12,3,1,20,5,15,103,348,16,47,5,2,2,14,20,0,3,7,31250,0,3,28,1,57,39,200,196,7,7,2,1,160,19,1,3,0,32,2,1,69917,4,293,163,9,4,0,7,21,172,1372,1,2,11,2,8,149,0,11,9,11,84590,6,14,132,2,222,963,23,90,4,1,3,18,7,3,2,314,3,28,255,6,122356,203,1,80,62,35,67,23,453,19,5,12,1,2,2,6,0,1,162,10,274,28967,0,5,11,14,7,130,224,1,2,11,1,186,13,2,25,120,19,109,2,2,49284,1,5,20,685,130,8,0,11,183,1,1,2,6,2,30,3,3,172,1,2,59601,44,38,380,80,11,0,1,7,1,7,194,1,11,235,1,157,66,1,9,118,63238,305,13,2,1,8,7,5,63,2,14,1,64,191,7,477,38,3,9,20,344,66425,69,26,6,48,4,442,130,28,6,64,240,13,19,14,103,3,408,254,4,89,111671,363,21,5,14,627,1,3,5,4,7,4,192,41,14,131,80,68,7,23,441,72298,78,1,1,409,7,7,23,30,45,0,1031,1,284,245,3,3,2,2,16,70,92418,1,2,0,11,0,0,7,10,0,0,1,12,1,0,0,6,27,4,1,2,6079,2,0,74,4,1,161,3,152,2,0,5,1,11,3,2,5,19,0,3,3,31868
Macropus_e#N46,90525,1,15,34,6,77,1,21,3,11,11,8,73,6,3,246,392,264,0,1,1,16616,0,0,13,14,7,3,0,5,0,1,0,1,21,44,3,1,2,34,16,3,61595,304,0,56,25,5,6,2,0,161,1,2,2,9,5,12,0,9,45,2,314,97494,0,78,4,2,152,5,0,8,1,113,14,12,6,17,1,4,4,14,1,0,40496,1,2,22,2,158,3,1,5,0,0,36,1,23,2,64,96,11,72,82,0,57116,1,2,4,8,2,19,4,3,86,179,9,32,6,1,3,8,8,4,3,3,30851,2,0,12,1,32,26,67,83,4,4,1,0,82,10,2,1,0,22,1,0,73876,3,144,119,13,1,1,3,18,67,601,0,1,9,1,8,107,2,7,4,12,87930,2,17,104,2,83,418,18,54,2,1,4,19,9,1,2,178,2,19,167,7,120817,97,2,48,35,22,45,15,208,10,5,7,1,0,1,2,0,2,112,15,108,29909,0,0,0,6,0,43,114,0,0,8,0,95,8,3,10,52,22,64,0,2,52297,1,5,4,358,50,1,0,19,85,3,3,1,2,3,22,2,7,82,2,3,57768,15,24,209,57,4,0,3,6,2,8,100,1,7,151,0,77,56,1,7,64,63297,121,12,3,2,3,6,2,48,7,11,2,40,113,5,265,26,6,3,13,185,63135,32,17,1,31,10,196,72,13,9,39,116,12,20,10,62,0,239,125,6,50,111441,202,11,0,20,281,3,3,4,5,5,3,155,20,15,72,47,40,2,18,225,73358,35,1,1,170,4,2,9,20,31,1,611,1,111,131,1,4,1,1,9,27,90241,1,1,0,9,1,1,1,4,1,0,1,6,0,0,0,3,10,3,0,0,6095,4,1,47,5,2,62,2,72,1,0,7,0,10,0,3,1,27,0,0,0,32802
Megophrys#N44,83370,9,39,100,8,245,2,35,13,29,13,17,170,12,13,936,590,479,1,1,12,16693,2,0,44,33,10,5,0,15,1,7,2,1,32,226,12,6,9,57,55,3,63252,1631,2,84,40,5,20,5,2,341,6,13,5,52,10,19,0,20,148,0,2123,96423,1,91,21,7,175,16,9,45,9,292,26,53,30,61,0,6,8,35,2,2,38393,1,7,85,1,430,10,4,2,1,1,39,4,36,7,478,335,40,97,121,1,53834,6,10,19,12,4,67,5,14,68,357,31,77,11,3,2,7,33,8,8,3,29106,5,9,48,1,136,35,289,141,27,4,1,0,177,25,1,1,3,68,3,1,73539,11,685,219,11,5,1,6,31,133,1681,1,6,24,5,15,118,0,12,34,24,90050,15,39,241,7,234,1292,72,131,20,1,1,31,9,5,13,424,2,41,764,8,115041,584,8,67,109,59,70,41,708,9,19,18,0,0,3,12,4,0,275,26,573,29882,2,4,7,9,9,71,170,0,0,11,8,273,31,4,46,139,29,150,6,3,53152,6,22,29,668,158,11,0,16,245,6,6,15,4,10,52,11,9,111,6,12,54299,129,23,436,113,29,1,4,15,2,28,345,2,11,389,5,296,159,11,40,171,61662,233,48,23,11,2,15,5,52,7,9,2,27,124,11,1126,53,18,34,17,225,59554,87,38,9,16,6,747,180,37,27,37,273,19,39,40,65,13,575,222,17,62,113763,943,35,3,25,550,12,14,16,3,12,7,205,80,28,88,144,65,7,36,1018,70811,122,0,4,380,7,15,36,45,28,1,1730,10,504,178,9,7,4,5,20,101,88756,0,3,1,14,1,0,19,4,0,1,1,22,2,1,2,3,8,8,0,0,5641,11,0,48,9,0,576,5,190,6,4,24,2,27,2,6,7,30,1,10,3,33555
Meleagris#N81,97207,8,13,14,3,35,2,7,5,10,6,5,35,1,6,115,303,185,0,3,2,17622,0,0,6,10,4,2,0,3,0,1,0,0,16,30,1,1,3,24,12,0,61869,156,0,46,14,0,5,1,0,106,0,2,1,8,2,1,0,6,20,0,161,98334,2,33,2,2,79,2,2,7,2,71,10,9,3,19,0,2,2,10,0,0,39291,1,1,13,1,78,0,3,1,0,2,10,0,11,1,30,55,6,30,47,1,57022,2,1,3,6,0,8,2,2,39,132,5,17,2,0,1,5,6,3,2,0,30637,1,1,8,0,17,7,59,76,3,1,0,1,33,4,3,0,1,12,2,1,71933,3,53,65,3,3,0,1,8,46,369,0,1,3,1,3,69,1,3,1,2,87458,3,12,44,2,61,245,7,14,5,0,1,4,4,1,3,76,2,7,65,3,118459,60,1,27,26,9,28,3,124,6,3,5,1,1,2,3,0,2,72,10,63,30834,0,2,7,2,3,54,95,1,4,3,2,65,2,1,6,20,12,33,2,1,51365,1,5,1,226,43,1,0,6,52,1,2,5,1,3,9,0,1,44,3,2,57039,13,4,137,28,0,0,1,6,1,2,59,1,1,58,2,55,29,3,4,23,62609,117,5,2,1,1,1,1,24,1,4,1,18,78,2,160,10,0,7,2,114,65980,21,11,1,10,1,79,56,4,3,28,97,4,13,4,45,1,196,70,3,40,111823,131,4,2,6,275,4,3,1,2,3,3,87,19,11,66,29,11,5,14,183,72555,22,1,1,129,3,3,10,11,9,1,395,1,93,78,1,2,0,1,11,18,93724,1,2,0,4,0,0,3,1,1,0,0,1,2,0,0,4,5,0,1,0,5909,1,0,23,1,3,58,0,45,2,3,4,3,7,1,2,2,8,2,3,2,33375
Micrurus_f#N94,90703,2,13,25,0,64,0,4,2,4,1,1,35,1,0,112,250,183,0,0,1,17746,0,0,9,9,1,0,0,0,1,0,0,0,12,25,0,1,0,22,17,0,61101,137,0,39,12,0,1,0,0,125,0,1,1,5,1,8,0,4,27,0,206,97602,0,52,1,1,83,2,0,2,1,61,6,3,0,12,0,0,0,4,0,0,41540,0,0,11,0,65,0,0,0,1,0,16,1,16,1,28,49,8,39,46,1,55351,0,0,2,1,0,1,0,2,46,118,2,14,1,0,0,3,2,3,2,1,31464,0,0,12,0,24,8,58,54,0,0,0,0,45,2,0,0,0,6,0,0,78612,2,71,59,8,0,0,2,8,79,352,0,0,2,0,0,53,0,2,0,2,90417,0,7,71,0,59,143,3,37,1,0,0,1,0,0,0,121,0,5,66,1,119979,64,2,18,18,16,26,2,108,4,1,2,0,0,0,0,0,0,88,9,40,31235,1,0,1,4,0,41,67,0,0,0,1,66,0,0,3,24,4,50,1,1,55549,0,1,2,139,18,1,0,7,66,0,0,0,0,0,12,0,2,77,0,0,55436,21,13,160,28,3,0,0,1,0,0,58,0,0,77,0,56,14,2,2,26,63200,76,0,0,0,1,1,0,33,0,1,0,13,90,2,138,14,1,2,4,114,60827,24,12,0,15,0,69,42,0,0,27,79,4,12,4,38,0,195,85,1,30,111742,127,1,0,10,183,0,0,2,2,1,0,137,16,3,65,24,20,5,10,162,73462,7,0,0,154,1,4,9,10,20,0,472,1,101,107,2,2,0,1,3,10,89079,0,0,0,8,0,0,0,1,0,0,0,4,1,0,0,2,7,2,0,0,6143,0,0,30,3,1,59,0,43,0,0,0,0,3,0,0,0,11,0,0,0,33682
Monodelphi#N38,90704,9,34,41,3,92,2,29,7,15,13,9,53,2,3,293,419,266,0,1,3,16553,1,0,23,11,6,1,1,6,0,3,1,1,17,50,3,2,5,37,23,1,61575,367,2,40,18,2,4,2,1,177,0,3,4,22,2,7,0,8,45,1,457,97547,4,57,2,4,120,3,3,18,3,126,9,8,4,21,1,1,2,14,1,0,40453,1,5,33,0,142,4,1,0,0,0,29,1,22,2,92,110,9,54,73,2,57150,0,4,11,4,1,20,0,7,57,177,7,30,3,1,2,4,8,7,5,3,30817,0,3,19,1,42,18,109,65,12,0,0,0,103,6,1,0,0,20,5,0,73714,4,193,86,10,2,0,3,7,45,529,0,2,8,1,0,77,0,4,8,12,87849,5,16,95,6,111,441,15,53,7,0,1,8,5,0,8,210,1,15,195,6,120810,151,4,39,42,31,45,15,189,7,6,7,0,1,3,4,0,1,93,8,150,29828,0,3,0,4,2,41,82,1,0,6,1,113,13,0,15,52,16,67,4,1,52174,2,3,9,275,58,3,0,5,86,3,3,0,3,2,12,6,2,67,0,4,57874,26,15,224,54,6,0,0,4,0,2,115,2,3,169,1,129,43,3,10,67,63306,119,16,6,1,1,1,1,20,1,12,1,26,83,3,380,20,10,11,18,141,63176,27,11,2,12,5,232,53,14,9,37,128,9,23,13,50,4,298,111,4,41,111422,245,10,2,13,233,0,3,5,4,7,5,132,34,13,64,70,51,3,14,320,73226,44,0,1,176,1,5,3,17,25,1,738,4,176,147,3,1,1,2,7,36,90251,0,1,1,5,0,0,1,4,0,0,0,7,2,1,1,1,10,4,0,1,6086,2,4,26,3,0,144,0,60,4,2,9,0,19,1,2,2,11,1,2,0,32775
Mus_muscul#N58,96088,17,87,177,8,289,5,78,27,43,37,36,240,8,12,1074,1572,897,1,1,16,16692,0,1,39,49,20,2,1,14,0,8,3,7,48,200,5,6,11,93,116,2,61752,1760,0,213,67,2,24,1,0,524,2,14,5,98,17,16,0,15,244,1,2173,97107,0,257,14,4,374,11,9,44,11,481,29,33,34,66,1,0,11,54,2,0,39974,3,11,79,0,811,6,2,4,1,2,106,8,104,2,301,454,42,188,202,2,58247,7,5,35,6,6,76,7,15,154,700,40,77,4,1,4,29,32,9,10,5,31252,4,13,66,2,137,62,449,298,41,8,2,0,342,80,2,1,2,69,10,0,69730,17,846,385,16,3,2,11,53,371,3283,0,0,42,0,31,273,0,31,23,21,84270,12,38,264,12,475,2608,72,219,12,2,1,63,12,1,4,599,10,49,633,6,122414,561,1,154,158,95,134,38,956,21,7,47,0,0,3,4,8,0,269,18,579,28909,3,7,3,18,13,196,442,1,0,31,11,468,27,4,90,238,26,181,2,6,49066,10,28,29,1810,301,8,0,18,403,9,4,9,5,6,52,11,3,260,5,3,59623,125,49,768,168,18,2,2,14,5,14,401,1,14,595,0,356,137,6,21,264,63303,560,24,13,3,11,9,18,98,6,20,2,115,324,10,1374,77,13,28,38,589,66541,131,44,11,38,13,1139,255,45,18,64,504,30,44,36,152,10,1057,631,16,131,111816,985,46,8,36,1445,10,10,20,5,26,4,295,84,35,194,157,191,7,66,1211,72291,166,0,2,985,1,11,47,51,85,0,2146,9,710,410,6,16,2,8,46,203,92541,0,1,3,19,0,2,5,11,0,0,1,21,2,0,0,13,34,14,0,0,6081,4,6,158,14,1,481,2,386,4,2,25,0,26,0,7,17,68,1,2,2,31786
N10#N8,82543,9,23,40,6,172,1,23,8,35,21,11,73,8,4,425,320,258,1,3,8,15588,1,0,17,16,7,6,1,7,0,3,3,0,10,115,5,4,6,24,32,2,61062,512,0,53,24,3,14,3,0,243,2,11,6,30,19,12,0,10,98,1,792,95299,0,62,9,5,130,10,9,29,6,259,10,16,22,49,0,2,6,27,0,1,37503,0,9,41,1,205,4,1,0,1,1,14,3,27,0,179,194,20,64,75,0,51375,9,1,23,2,2,56,4,18,47,177,19,30,3,0,0,9,14,5,10,3,27413,3,3,32,1,67,10,131,54,8,0,1,1,121,15,2,0,3,36,1,0,72729,4,285,104,10,1,0,3,11,67,578,0,0,13,1,10,90,0,8,5,16,88945,8,35,118,5,189,583,44,70,15,1,3,31,12,0,4,258,2,29,353,5,112057,252,3,31,69,30,38,20,335,9,15,16,1,0,1,5,3,0,134,14,211,28779,0,2,3,10,6,48,70,1,0,15,11,119,11,1,22,64,20,83,4,3,51661,2,12,22,240,81,6,0,14,188,5,3,10,4,11,35,11,10,75,3,7,51322,69,20,237,53,26,0,0,10,1,16,214,1,6,208,3,145,74,9,18,56,60192,132,19,9,9,2,6,4,29,4,10,1,26,105,4,449,21,9,15,8,171,58141,50,26,3,10,10,287,106,15,13,38,118,14,19,22,61,9,274,94,12,35,104193,418,17,5,15,258,3,4,6,1,13,3,129,41,22,77,79,29,7,22,394,68519,92,0,1,195,3,6,15,28,20,1,856,4,256,127,1,7,5,2,18,87,87359,1,2,0,7,0,1,3,2,2,0,0,11,1,0,0,3,9,1,1,1,5671,3,1,43,6,1,212,0,90,2,2,5,1,22,0,9,5,16,2,2,1,33006
N11#N9,85012,1,4,9,1,25,1,4,1,6,2,4,12,1,0,45,26,28,0,0,2,15548,0,0,3,2,1,0,1,1,0,1,0,2,4,6,2,1,1,5,2,0,61745,52,0,4,3,0,3,0,0,13,1,1,0,7,0,3,0,1,3,0,59,99835,0,8,0,1,12,1,2,1,2,13,1,0,5,4,0,0,0,2,0,0,37941,0,0,7,0,18,3,0,0,1,0,2,0,4,1,19,17,3,7,16,0,54272,0,0,4,0,0,1,1,0,5,19,4,1,0,0,0,0,1,0,2,1,27129,0,2,6,0,6,4,24,3,1,1,0,0,11,3,0,1,0,7,1,0,71494,3,45,12,0,0,0,0,5,7,51,0,0,0,0,2,5,0,2,1,5,93041,0,4,14,2,16,54,1,5,0,1,1,3,1,0,2,31,0,6,41,0,113091,33,0,3,21,1,3,2,29,1,2,4,0,0,0,2,0,0,12,4,28,29001,1,1,1,1,0,8,8,0,0,0,1,12,3,0,5,4,1,14,0,0,51085,1,5,1,23,8,0,0,1,23,0,1,1,0,1,6,1,0,9,0,0,55357,6,2,18,10,0,0,0,1,0,1,18,0,1,27,0,21,11,0,3,7,61851,19,3,0,2,0,3,0,3,0,1,0,5,13,1,47,6,0,0,1,20,57845,3,1,1,1,0,37,15,2,2,4,21,3,1,4,14,1,13,11,1,7,106952,46,0,0,0,11,2,0,1,0,3,1,4,6,3,7,11,8,0,2,50,69732,11,0,0,19,2,1,3,2,4,0,45,2,37,24,2,0,1,0,2,7,88670,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,5604,0,0,4,3,0,37,0,13,1,1,1,0,1,1,1,0,3,0,0,0,33765
